time,hip_cont_angle,encoder_hip_angle,csv_hip_angle
0.030193090438842773,0.0,,0.0
0.06027793884277344,0.0,,0.0
0.09029245376586914,0.0,,0.0
0.12027239799499512,0.0,,0.0
0.15026640892028809,0.0,,0.0
0.1802518367767334,0.0,,0.0
0.21027278900146484,0.0,,0.0
0.2402796745300293,0.0,,0.0
0.27027177810668945,0.0,,0.0
0.3002784252166748,0.0,,0.0
0.3302905559539795,0.0,,0.0
0.3602869510650635,0.0,,0.0
0.390277624130249,0.0,,2.226138114929199
0.4202916622161865,0.0,,2.226138114929199
0.4502861499786377,-0.00019073777366429567,,0.9972620010375977
0.48029088973999023,-0.00019073777366429567,,-0.20104700326919556
0.5102734565734863,-0.00019073777366429567,,-1.3552809953689575
0.5403163433074951,-0.00019073777366429567,,-1.3552809953689575
0.5702929496765137,-0.00019073777366429567,,-2.4548590183258057
0.6002335548400879,-0.00019073777366429567,,-3.494004011154175
0.6302962303161621,-0.0020981156267225742,,-4.472219944000244
0.6602799892425537,-0.0020981156267225742,,-4.472219944000244
0.6902906894683838,-0.007057297509163618,,-5.393092155456543
0.7202894687652588,-0.01888304017484188,,-6.262579917907715
0.7502520084381104,-0.03681239113211632,,-7.087670803070068
0.7802896499633789,-0.03681239113211632,,-7.087670803070068
0.8101835250854492,-0.05893797054886818,,-7.8748250007629395
0.8401658535003662,-0.08373387902975082,,-8.62842845916748
0.8702096939086914,-0.08373387902975082,,-8.62842845916748
0.9002940654754639,-0.10814831405878067,,-9.350337028503418
0.9302680492401123,-0.12951095402240753,,-10.04045581817627
0.9602982997894287,-0.14591439068317413,,-10.697627067565918
0.9902918338775635,-0.14591439068317413,,-10.697627067565918
1.0202922821044922,-0.15697719156742096,,-11.32015323638916
1.0503029823303223,-0.164988175034523,,-11.9057035446167
1.0802958011627197,-0.17071031033992767,,-12.452102661132812
1.110260009765625,-0.17071031033992767,,-12.452102661132812
1.1401877403259277,-0.17566949129104614,,-12.958338737487793
1.1702663898468018,-0.1817730963230133,,-13.424015045166016
1.200289011001587,-0.1817730963230133,,-13.424015045166016
1.2302508354187012,-0.18863965570926666,,-13.847885131835938
1.2602906227111816,-0.1970321238040924,,-14.227307319641113
1.2902989387512207,-0.20542457699775696,,-14.559151649475098
1.3202755451202393,-0.20542457699775696,,-14.559151649475098
1.35028076171875,-0.2141985148191452,,-14.841076850891113
1.380279779434204,-0.22220951318740845,,-15.071792602539062
1.410290241241455,-0.2290760725736618,,-15.250370979309082
1.4402704238891602,-0.2290760725736618,,-15.250370979309082
1.470292568206787,-0.23441672325134277,,-15.373492240905762
1.5002636909484863,-0.23861294984817505,,-15.433918952941895
1.5302751064300537,-0.24052032828330994,,-15.421883583068848
1.5602805614471436,-0.24052032828330994,,-15.421883583068848
1.5902862548828125,-0.24013885855674744,,-15.327018737792969
1.6202919483184814,-0.24013885855674744,,-15.138349533081055
1.6502578258514404,-0.24013885855674744,,-15.138349533081055
1.6802935600280762,-0.24013885855674744,,-14.843628883361816
1.710291862487793,-0.24013885855674744,,-14.429222106933594
1.740288496017456,-0.24013885855674744,,-13.87929916381836
1.770273208618164,-0.24013885855674744,,-13.87929916381836
1.8001952171325684,-0.24013885855674744,,-13.176398277282715
1.830306053161621,-0.24013885855674744,,-12.304598808288574
1.8602814674377441,-0.23823148012161255,,-11.253963470458984
1.890265703201294,-0.23823148012161255,,-11.253963470458984
1.9202733039855957,-0.23289081454277039,,-10.024627685546875
1.9502804279327393,-0.22259098291397095,,-8.628559112548828
1.980292558670044,-0.22259098291397095,,-8.628559112548828
2.0102899074554443,-0.20618753135204315,,-7.08758020401001
2.0402944087982178,-0.1848248988389969,,-5.427999973297119
2.0702803134918213,-0.15812161564826965,,-3.6762309074401855
2.100308656692505,-0.15812161564826965,,-3.6762309074401855
2.1303324699401855,-0.12798504531383514,,-1.8569109439849854
2.16030216217041,-0.09517814964056015,,0.007845999673008919
2.190258741378784,-0.06237125024199486,,1.8989280462265015
2.220269203186035,-0.06237125024199486,,1.8989280462265015
2.2502601146698,-0.02880140393972397,,3.7999680042266846
2.2802586555480957,0.004005493130534887,,5.696688175201416
2.310272693634033,0.004005493130534887,,5.696688175201416
2.340275287628174,0.03452353551983833,,7.575310230255127
2.3702666759490967,0.06427863240242004,,9.42063045501709
2.4002649784088135,0.09365224838256836,,11.21364974975586
2.43027925491333,0.09365224838256836,,11.21364974975586
2.460273504257202,0.12226291000843048,,12.93212890625
2.490291118621826,0.1516365259885788,,14.555439949035645
2.5202884674072266,0.1813916265964508,,16.069337844848633
2.5502877235412598,0.1813916265964508,,16.069337844848633
2.580289363861084,0.21114671230316162,,17.467567443847656
2.6102676391601562,0.24013885855674744,,18.752519607543945
2.640273094177246,0.24013885855674744,,18.752519607543945
2.6702470779418945,0.2660791873931885,,19.932777404785156
2.7002713680267334,0.28973066806793213,,21.018789291381836
2.730271816253662,0.3103303611278534,,22.018911361694336
2.7602596282958984,0.3103303611278534,,22.018911361694336
2.790273427963257,0.3290226459503174,,22.936429977416992
2.820284128189087,0.3435187339782715,,23.76889991760254
2.8502919673919678,0.3538185656070709,,24.509483337402344
2.8802895545959473,0.3538185656070709,,24.509483337402344
2.9102783203125,0.36411839723587036,,25.14824676513672
2.940269947052002,0.3759441375732422,,25.67316436767578
2.970283269882202,0.3759441375732422,,25.67316436767578
3.0002989768981934,0.3892957866191864,,26.072052001953125
3.0302741527557373,0.4022659659385681,,26.334585189819336
3.060263156890869,0.41447317600250244,,26.452917098999023
3.0902633666992188,0.41447317600250244,,26.452917098999023
3.120243787765503,0.4240100681781769,,26.422393798828125
3.1502397060394287,0.42973220348358154,,26.243316650390625
3.1802241802215576,0.43240252137184143,,25.92259407043457
3.2102928161621094,0.43240252137184143,,25.92259407043457
3.2402524948120117,0.43202105164527893,,25.47414207458496
3.270267963409424,0.43202105164527893,,24.918058395385742
3.3002679347991943,0.43202105164527893,,24.918058395385742
3.3302953243255615,0.43202105164527893,,24.278989791870117
3.360273599624634,0.43202105164527893,,23.585617065429688
3.390286445617676,0.43011367321014404,,22.87034797668457
3.4202945232391357,0.43011367321014404,,22.87034797668457
3.450270891189575,0.4243915379047394,,22.166290283203125
3.480267286300659,0.41409170627593994,,21.502809524536133
3.5102310180664062,0.3995956480503082,,20.902334213256836
3.5402872562408447,0.3995956480503082,,20.902334213256836
3.5702927112579346,0.38319218158721924,,20.37847900390625
3.600268840789795,0.36640727519989014,,19.934326171875
3.6302473545074463,0.36640727519989014,,19.934326171875
